2018
gelb=GelberSack(gelb)
bio=Biomüll(braun)
papier=Papiermüll(blau)
rest=Restmüll(schwarz)
glas=Glassmüll(grün)
metall=Metall(orange)
schadstoff=Schadstoffmobil(rot)
frei=keineTonne(grau)
feiertag=Feiertag(Stern)

Kalenderwoche	Montag	Tonne1	Tonne2	Dienstag	Tonne1	Tonne2	Mittwoch	Tonne1	Tonne2	Donnerstag	Tonne1	Tonne2	Freitag	Tonne1	Tonne2	Samstag	Tonne1	Tonne2	Sonntag	Tonne1	Tonne2
KW01	Mon=	frei	frei	Tue=	bio	frei	Wed=	gelb	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW02	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	papier	frei	Fri=	rest	frei	Sat=	frei	frei	Sun=	frei	frei
KW03	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	schadstoff	frei	Sun=	frei	frei
KW04	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW05	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW06	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	papier	frei	Fri=	rest	frei	Sat=	frei	frei	Sun=	frei	frei
KW07	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	schadstoff	frei	Sun=	frei	frei
KW08	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW09	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW10	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	papier	frei	Fri=	rest	frei	Sat=	frei	frei	Sun=	frei	frei
KW11	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	schadstoff	frei	Sun=	frei	frei
KW12	Mon=	frei	frei	Tue=	frei	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	frei	frei	Sat=	frei	frei	Sun=	frei	frei
KW13	Mon=	bio	frei	Tue=	gelb	frei	Wed=	frei	frei	Thu=	frei	frei	Fri=	feiertag	frei	Sat=	frei	frei	Sun=	frei	frei
